_id,NomEmpresa,IdcClassificacaoBarragens,DatConclusaoConstrucao
309,SAMARCO MINERAÇÃO S.A.,B,1997-06-30
310,CEMIG Geração Leste S.A.,B,1900-01-01
311,LIGHT ENERGIA S.A,B,1953-01-01
312,LIGHT ENERGIA S.A,B,1953-01-01
313,PARANÁ GERAÇÃO DE ENERGIA LTDA.,C,1951-05-03
314,AES Brasil Operações S.A.,B,1982-09-13
315,CEMIG Geração e Transmissão S.A.,B,1992-04-01
316,CEMIG Geração Sul S.A.,B,1930-06-20
317,PACÍFICO MASCARENHAS ENERGÉTICA LTDA.,C,1928-03-23
318,GESM - GERAÇÃO DE ENERGIA SUL DE MINAS S/A,C,1927-01-01
319,Cemig PCH  S.A,C,1958-10-01
320,PAINA II - GERADORA DE ENERGIA SPE LTDA.,C,1982-08-02
321,Lightger S.A.,B,2012-04-18
322,Lightger S.A.,B,2012-04-18
323,Enel Green Power Paranapanema S.A.,B,1936-06-01
324,CEB Geração S.A.,B,1959-07-31
325,CEMIG Geração e Transmissão S.A.,B,1948-07-01
326,DEPARTAMENTO MUNICIPAL DE ENERGIA DE IJUÍ GERAÇÃO,C,1962-01-01
327,Companhia Estadual de Geração de Energia Elétrica - CEEE-G,C,1948-11-15
328,ENERGÉTICA CAMPOS DE CIMA DA SERRA LTDA,B,2003-08-01
329,ENGIE Brasil Energia S.A.,B,1971-05-01
330,ENGIE Brasil Energia S.A.,B,1971-05-01
331,ENGIE Brasil Energia S.A.,B,1971-05-01
332,COMPANHIA SIDERÚRGICA NACIONAL,B,1973-03-17
333,CSN MINERAÇÃO S.A.,B,1973-03-17
334,ELIZABETH CIMENTOS S/A,B,1973-03-17
335,MINÉRIOS NACIONAL S.A.,B,1973-03-17
336,Companhia Hidro Elétrica do São Francisco,B,1954-09-18
337,ENERGÉTICA RIO PEDRINHO LTDA.,C,2003-08-01
338,Furnas-Centrais Elétricas S.A.,B,1956-12-21
339,LIGHT ENERGIA S.A,B,1962-01-01
340,CELESC Geração S.A.,C,1965-01-01
341,CELESC Geração S.A.,C,1965-01-01
342,CELESC Geração S.A.,C,2013-04-25
343,PESQUEIRO ENERGIA S/A,C,2002-12-15
344,CEMIG Geração Leste S.A.,B,1945-11-06
345,Quanta Geração S.A.,C,1908-01-01
346,Quanta Geração S.A.,C,1908-01-01
347,CEMIG Geração Sul S.A.,B,1954-07-02
348,L.D.Q.S.P.E. GERAÇÃO DE ENERGIA E PARTICIPAÇÕES LTDA.,B,2004-04-24
349,HIDRELÉTRICA PIPOCA S.A.,B,2010-05-01
350,INDÚSTRIA DE MATERIAL BÉLICO DO BRASIL IMBEL,B,1957-08-15
351,INDÚSTRIA DE MATERIAL BÉLICO DO BRASIL IMBEL,B,1932-12-08
352,ARCELORMITTAL BRASIL S.A.,B,1939-01-01
353,CEMIG Geração Poço Fundo S.A.,B,1948-10-01
354,ENGIE Brasil Energia S.A.,B,2004-04-01
355,Furnas-Centrais Elétricas S.A.,B,1973-07-03
356,Empresa Metropolitana de Águas e Energia S.A.,B,1928-01-01
357,Empresa Metropolitana de Águas e Energia S.A.,B,1928-01-01
358,COMPANHIA ENERGÉTICA DE SÃO PAULO,B,2003-10-15
359,COMPANHIA ENERGÉTICA DE SÃO PAULO,B,2003-10-15
360,Companhia Brasileira de Alumínio,B,1982-10-30
361,LUMBRÁS ENERGÉTICA S.A.,B,2009-12-23
362,AFLUENTE GERAÇÃO DE ENERGIA ELÉTRICA S.A,C,1963-12-31
363,PRIMAVERA ENERGIA S.A.,B,1995-12-01
364,AES Brasil Operações S.A.,B,1974-07-01
365,COMPANHIA ENERGÉTICA CHAPECÓ - CEC,B,2003-03-03
366,CEB Participações S.A,B,2003-06-01
367,CEMIG Geração e Transmissão S.A.,B,2003-06-01
368,CEB Participações S.A,B,2003-06-01
369,CEMIG Geração e Transmissão S.A.,B,2003-06-01
370,CEB Participações S.A,B,2003-06-01
371,CEMIG Geração e Transmissão S.A.,B,2003-06-01
372,Empresa Metropolitana de Águas e Energia S.A.,B,1925-01-01
373,Empresa Metropolitana de Águas e Energia S.A.,B,1925-01-01
374,Companhia Energética Salto do Lobo LTDA.,C,1925-01-01
375,Statkraft Energias Renováveis S.A.,B,1959-02-20
376,CEMIG Geração e Transmissão S.A.,B,1924-10-01
377,CPFL ENERGIAS RENOVÁVEIS S.A.,C,1998-01-01
378,Specht Produtos Alimentícios Ltda,C,1953-12-03
379,Dois Saltos Empreendimentos de Geração de Energia Elétrica LTDA.,C,1949-01-01
380,Copel Geração E Transmissão S.A.,B,1996-04-23
381,Centrais Elétricas Rio Tigre S.A.,B,1964-09-01
382,Companhia CELG de Participações - CELGPAR,B,1956-04-18
383,RONDON ENERGIA S.A.,C,2010-10-25
384,Rosal Energia S.A.,B,1999-10-09
385,Rio Paranapanema Energia S.A.,B,1986-11-03
386,SÁ Carvalho S.A.,B,1950-10-01
387,SÁ Carvalho S.A.,B,1950-10-01
388,HIDROLUZ CENTRAIS ELÉTRICAS LTDA,C,2004-09-15
389,ENERCOOP LTDA,C,1994-12-09
390,Copel Geração E Transmissão S.A.,B,1998-07-31
391,Maringá Ferro Liga S.A.,C,1954-01-01
392,Companhia Brasileira de Alumínio,B,1989-10-30
393,Rio Paranapanema Energia S.A.,B,1958-02-25
394,CEMIG Geração e Transmissão S.A.,B,1955-09-01
395,ENGIE Brasil Energia S.A.,B,1975-06-04
396,ENGIE Brasil Energia S.A.,B,1979-09-29
397,ENGIE Brasil Energia S.A.,B,1979-09-29
398,ENGIE Brasil Energia S.A.,B,1979-09-29
399,ENGIE Brasil Energia S.A.,B,1979-09-29
400,CHAPECOZINHO ENERGETICA S/A,C,2003-10-15
401,CELESC Geração S.A.,B,1914-01-01
402,CELESC Geração S.A.,B,1914-01-01
403,CELESC Geração S.A.,B,1914-01-01
404,CELESC Geração S.A.,B,1914-01-01
405,CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S/A,B,1988-12-01
406,CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S/A,B,1988-12-01
407,CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S/A,B,1988-12-01
408,CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S/A,B,1988-12-01
409,CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S/A,B,1988-12-01
410,CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S/A,B,1988-12-01
411,CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S/A,B,1988-12-01
412,CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S/A,B,1988-12-01
413,CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S/A,B,1988-12-01
414,CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S/A,B,1988-12-01
415,Ferro Ligas Piracicaba Ltda,C,1905-03-25
416,LIGHT ENERGIA S.A,B,1960-01-01
417,COMPANHIA ENERGÉTICA SANTA CLARA,B,2001-10-20
418,UHE São Simão Energia S.A.,B,1977-06-01
419,Copel Geração E Transmissão S.A.,B,1992-03-20
420,Furnas-Centrais Elétricas S.A.,B,1996-12-01
421,Companhia Brasileira de Alumínio,B,1978-10-30
422,BAHIA PCH I S.A.,B,2010-08-31
423,Companhia Hidro Elétrica do São Francisco,B,1977-08-01
424,Companhia Hidro Elétrica do São Francisco,B,1977-03-01
425,Companhia Hidro Elétrica do São Francisco,B,1978-03-01
426,Tocantins Energética S.A.,C,1998-10-15
427,Companhia Brasileira de Alumínio,C,1998-08-15
428,Mohini Empreendimentos e Participações Ltda.,B,1909-01-10
429,Statkraft Energias Renováveis S.A.,B,1965-02-20
430,Alvorada Energia S.A.,C,1983-01-21
431,Rio Paranapanema Energia S.A.,B,1992-09-15
432,Eletricidade da Amazônia LTDA.,C,1997-09-12
433,Quanta Geração S.A.,C,1912-01-01
434,Quanta Geração S.A.,C,1912-01-01
435,PRIMAVERA ENERGIA S.A.,C,1983-06-01
436,TIJOÁ PARTICIPAÇÕES E INVESTIMENTOS S.A.,B,1990-07-01
437,Jayaditya Empreendimentos e Participações Ltda,C,1928-01-05
438,CEMIG Geração Leste S.A.,B,1954-08-01
439,CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S/A,B,1984-09-06
440,CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S/A,B,1984-09-06
441,CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S/A,B,1984-09-06
442,CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S/A,B,1984-09-06
443,CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S/A,B,1984-09-06
444,CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S/A,B,1984-09-06
